<!-- This file is generated from W3C WAI ARRM data. Do not edit manually. -->
<!-- Source: https://github.com/w3c/wai-arrm/blob/draft/_data/arrm/arrm-all-tasks.csv -->
<!-- Retrieved: 2025-01-01 -->
"ID","WCAG SC","Level","Task","Main Role","Primary Ownership","Secondary Ownership","Contributor","Status"
"IMG-003","1.1.1","A","Purely decorative images are provided with null alt attribute values (or other equivalent means).","Development","Front-End Development","Content Authoring","none","Requirement"
"IMG-004","1.1.1","A","Null alt attribute values are used for images that are already described in text in adjacent page content.","Development","Front-End Development","Content Authoring","none","Requirement"
"IMG-007","1.1.1","A","Informative images are marked up as foreground images, and not embedded as part of the CSS.","Development","Front-End Development","Content Authoring","none","Best Practice"
"IMG-009","1.1.1","A","The purpose or function of complex images is conveyed using a text description, via an alt attribute.","Development","Front-End Development","Content Authoring","User Experience (UX) Design","Best Practice"
"IMG-022","1.4.9","AAA","With the exception of logos, all images that contain text are only used for purely decorative purposes.","Design","Visual Design","Content Authoring","none","Requirement"
"SEM-001","1.3.1","A","Informative content is provided through HTML markup.","Development","Front-End Development","User Experience (UX) Design, Content Authoring","none","Requirement"
"SEM-009","1.3.1","A","Decorative elements are embedded through the CSS presentation layer (or other equivalent means).","Development","Front-End Development","Content Authoring","none","Best Practice"
"SEM-013","1.3.1","A","Headings are marked up using h1 to h6 elements or other equivalent means.","Development","Front-End Development","User Experience (UX) Design, Content Authoring","none","Best Practice"
"SEM-014","1.3.1","A","Page contains a level 1 heading that describes the page content.","Development","Front-End Development","User Experience (UX) Design, Content Authoring","none","Best Practice"
"SEM-018","2.4.1","A","iFrames displaying content are provided with a clear, informative title attribute value.","Design","User Experience (UX) Design","Content Authoring","none","Requirement"
"SEM-028","4.1.2","A","iFrames are given a title that describes their content or purpose.","Design","User Experience (UX) Design","Content Authoring","none","Requirement"
"SEM-029","4.1.2","A","iFrames are implemented using title attribute values that describe their content or purpose.","Development","Front-End Development","Content Authoring","none","Requirement"
"FRM-035","3.3.3","AA","Text-based instructions are provided to help users correct errors.","Design","User Experience (UX) Design","Content Authoring, Visual Design","none","Requirement"
"FRM-038","3.3.5","AAA","Context-sensitive help text is available.","Design","User Experience (UX) Design","Content Authoring","none","Requirement"
"CSS-001","1.1.1","A","Icon fonts used to convey information are provided with a text equivalent.","Design","User Experience (UX) Design","Content Authoring","none","Requirement"
"CSS-002","1.1.1","A","The meaning of icon fonts is determined programmatically using the aria-label attribute (or other equivalent means).","Development","Front-End Development","Content Authoring","none","Requirement"
"CSS-015","1.4.5","AA","CSS background sprites don't include images of text, unless equivalent text alternatives are also provided as part of the HTML.","Development","Front-End Development","Content Authoring, Visual Design","none","Requirement"
"NAV-003","1.4.1","A","Additional visual and/or textual cues are provided when color is used to convey information.","Design","User Experience (UX) Design","Visual Design, Content Authoring","none","Requirement"
"NAV-011","2.4.1","A","The functionality and expected destination of skip links and similar mechanisms is clearly defined.","Design","User Experience (UX) Design","Content Authoring","none","Requirement"
"NAV-031","3.2.5","AAA","Links that open new windows indicate they will do so, either as part of the link text, or using aria-label or equivalent means.","Development","Front-End Development","Content Authoring","none","Requirement"
"TAB-010","1.3.1","A","Large, complex data tables are broken into smaller, simpler data tables (when possible).","Design","User Experience (UX) Design","Visual Design, Content Authoring","none","Best Practice"
"TAB-011","1.3.1","A","Unrelated data is not included in the same data table.","Design","User Experience (UX) Design","Content Authoring","none","Best Practice"
"ANM-005","1.2.1","A","Copy on the page identifies when video content has no sound.","Design","User Experience (UX) Design","Content Authoring","none","Requirement"
"ANM-020","1.2.8","AAA","Brief descriptions summarizing multimedia content are provided in close proximity to the audio and video files.","Design","User Experience (UX) Design","Content Authoring","none","Requirement"
"ANM-031","2.2.3","AAA","Timing is not an essential part of the event or activity presented by the content.","Design","User Experience (UX) Design","Content Authoring","Business Analysis","Requirement"
"ANM-032","2.2.6","AAA","Users are warned that more than 20 hours of inactivity could lead to data loss.","Design","User Experience (UX) Design","Content Authoring","none","Requirement"
"SCT-001","1.1.1","A","Emoticons, emojis, ASCII art, and other non-markup language constructs are supported with equivalent text alternatives and conveyed to assistive technologies.","Design","User Experience (UX) Design","Content Authoring","Front-End Development","Requirement"
"SCT-004","1.3.1","A","Proper markup is used to structure quotes, blockquotes and citations.","Development","Front-End Development","Content Authoring","none","Requirement"
"SCT-014","1.3.3","A","Objects that rely on sound to be properly perceived are supported with additional text information.","Design","User Experience (UX) Design","Content Authoring","none","Requirement"
"SCT-015","1.4.5","AA","Mathematical formulas are marked up using MathML.","Development","Front-End Development","Content Authoring","none","Best Practice"
"SCT-021","3.1.3","AAA","Unusual words, phrases, and abbreviations are organized into a glossary.","Design","User Experience (UX) Design","Content Authoring","none","Best Practice"
"SCT-022","3.1.3","AAA","Unusual words found in the content are linked to their definitions in a glossary.","Design","User Experience (UX) Design","Content Authoring","none","Best Practice"
"SCT-027","3.1.5","AAA","Ideas conveyed through text are supported with illustrations or other visuals.","Design","Visual Design","User Experience (UX) Design, Content Authoring","none","Requirement"
