<!-- This file is generated from W3C WAI ARRM data. Do not edit manually. -->
<!-- Source: https://github.com/w3c/wai-arrm/blob/draft/_data/arrm/arrm-all-tasks.csv -->
<!-- Retrieved: 2025-01-01 -->
"ID","WCAG SC","Level","Task","Main Role","Primary Ownership","Secondary Ownership","Contributor","Status"
"IMG-001","1.1.1","A","Informative alternate text is provided for images (i.e. not ""spacer"" or image file name).","Author","Content Authoring","User Experience (UX) Design","none","Requirement"
"IMG-005","1.1.1","A","Adjacent linked images and text links pointing the same URL are combined into single links.","Development","Front-End Development","User Experience (UX) Design","none","Best Practice"
"IMG-008","1.1.1","A","The purpose or function of complex images is accurately described in text.","Author","Content Authoring","User Experience (UX) Design","none","Requirement"
"IMG-013","1.1.1","A","Images primarily conveying function use alternative text to describe their purpose, rather than what they look like.","Author","Content Authoring","User Experience (UX) Design","none","Requirement"
"IMG-015","1.1.1","A","Text alternatives of dynamically updated images are simultaneously updated as the images change.","Development","Front-End Development","User Experience (UX) Design","Content Authoring","Requirement"
"IMG-016","1.1.1","A","Alternate means of accessing CAPTCHA information are provided, such as audio CAPTCHA, logical question, or other equivalent means.","Design","Business Analysis","User Experience (UX) Design","none","Requirement"
"IMG-018","1.4.1","A","Charts, graphs, infographics and other visual representations of information don't rely on color alone to convey information.","Design","Visual Design","User Experience (UX) Design","none","Requirement"
"IMG-020","1.4.5","AA","Text that is placed on top of an image is handled semantically through HTML and CSS instead.","Development","Front-End Development","User Experience (UX) Design","none","Best Practice"
"IMG-021","1.4.5","AA","Unless a particular presentation of text is essential to the information being conveyed, all images that contain text are only used for purely decorative purposes.","Design","Visual Design","User Experience (UX) Design","none","Best Practice"
"SEM-001","1.3.1","A","Informative content is provided through HTML markup.","Development","Front-End Development","User Experience (UX) Design, Content Authoring","none","Requirement"
"SEM-002","1.3.1","A","HTML elements are used according to the HTML specification.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"SEM-003","1.3.1","A","Navigation groupings are marked up using HTML list or nav elements (or other equivalent means).","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"SEM-004","1.3.1","A","Header sections are marked up using HTML header elements (or other equivalent means).","Development","Front-End Development","User Experience (UX) Design","none","Best Practice"
"SEM-005","1.3.1","A","The main section of a page is marked up using a HTML main element (or other equivalent means).","Development","Front-End Development","User Experience (UX) Design","none","Best Practice"
"SEM-006","1.3.1","A","The footer of the page is marked up using a HTML footer element (or other equivalent means).","Development","Front-End Development","User Experience (UX) Design","none","Best Practice"
"SEM-007","1.3.1","A","Content that is complementary to the main section is marked up using HTML aside elements (or other equivalent means).","Development","Front-End Development","User Experience (UX) Design","none","Best Practice"
"SEM-008","1.3.1","A","HTML elements are used based on the semantics they provide, not based on what they look like.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"SEM-011","1.3.1","A","Elements that act as headings are marked up as such.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"SEM-012","1.3.1","A","Headings follow a hierarchical sequence without skipping any levels.","Author","Content Authoring","User Experience (UX) Design","none","Best Practice"
"SEM-013","1.3.1","A","Headings are marked up using h1 to h6 elements or other equivalent means.","Development","Front-End Development","User Experience (UX) Design, Content Authoring","none","Best Practice"
"SEM-014","1.3.1","A","Page contains a level 1 heading that describes the page content.","Development","Front-End Development","User Experience (UX) Design, Content Authoring","none","Best Practice"
"SEM-016","1.3.1","A","Use of native, semantic HTML elements are prioritized over other methods.","Development","Front-End Development","User Experience (UX) Design","none","Best Practice"
"SEM-017","1.3.2","A","The source code (or DOM) order matches the suggested visual order of the design.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"SEM-021","2.4.3","A","The tab order logically and predictably follows the expected interaction order of the visual design.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"INP-004","2.1.1","A","All actionable elements can be reached, using only the keyboard.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"INP-005","2.1.1","A","All active elements can be triggered, using only the keyboard.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"INP-009","2.1.1","A","Keyboard focus is not applied to non-active or static elements.","Development","Front-End Development","User Experience (UX) Design","none","Best Practice"
"INP-010","2.1.1","A","Custom active elements replicate all inherent keyboard behaviors of native active HTML elements.","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
"INP-015","2.4.3","A","Users can tab through active elements in an order that reflects the intended interaction order of the design.","Development","Front-End Development","User Experience (UX) Design, Visual Design","none","Requirement"
"INP-017","2.4.7","AA","Every element that receives keyboard focus is designed to display a visible focus indicator.","Design","Visual Design","User Experience (UX) Design","none","Requirement"
"INP-021","2.5.3","A","Text or images of text that is usually included in a user interface control is part of its accessible name.","Author","Content Authoring","User Experience (UX) Design","none","Requirement"
"FRM-002","1.3.1","A","Text labels and form controls are programmatically associated (using the FOR and ID attributes, or equivalent means).","Development","Front-End Development","User Experience (UX) Design","none","Requirement"
