<!-- This file is generated from W3C WAI ARRM data. Do not edit manually. -->
<!-- Source: https://github.com/w3c/wai-arrm/blob/draft/_data/arrm/arrm-all-tasks.csv -->
<!-- Retrieved: 2025-01-01 -->
"ID","WCAG SC","Level","Task","Main Role","Primary Ownership","Secondary Ownership","Contributor","Status"
"IMG-014","1.1.1","A","Text alternatives of static and linked images do not replicate any information that is already being conveyed by screen reader technology.","Author","Content Authoring","Front End Development","none","Best Practice"
"INP-001","1.4.13","AA","Additional content triggered by focus or hover that covers other information can be dismissed by the user.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
"INP-002","1.4.13","AA","Additional content triggered by pointer hover does not disappear when trying to move the pointer over it.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
"INP-003","1.4.13","AA","Additional content triggered by hover or focus stays visible until purposefully un-triggered, dismissed, or is no longer valid.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
"INP-013","2.1.3","AAA","All actionable elements can be reached using only the keyboard without requiring specific timings for individual keystrokes.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
"INP-020","2.5.2","A","Non-essential single-pointer functionality is not triggered on down events, unless the functionality can be canceled, undone, or reversed.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
"INP-026","3.2.2","A","Keyboard focus does not move automatically from one form control to the next.","Design","User Experience (UX) Design","Front End Development","none","Requirement"
"FRM-012","1.3.5","AA","Data entry fields are designed to autofill previously entered user information when that information is available.","Design","User Experience (UX) Design","Front-End Development","none","Best Practice"
"FRM-017","2.5.6","AAA","The content is designed in a way that does not restrict input modalities available.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
"FRM-018","3.2.1","A","Changes of context are not initiated automatically as user interface components receive focus.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
"FRM-020","3.2.2","A","Form interactions are not designed to include automatic changes of context upon input that would otherwise require explicit user action unless previously communicated.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
"FRM-040","3.3.7","A","Except when it is essential for users to re-enter information in the same session, previously entered information is made available through auto-population or user selection.","Design","User Experience (UX) Design","Front-End Development","","TBD"
"FRM-041","3.3.8","AA","Cognitive function tests that do not rely on object recognition or personal content must provide an alternative non-cognitive method or an assistive mechanism.","Design","User Experience (UX) Design","Front-End Development","Business Analysis","TBD"
"FRM-042","3.3.9","AAA","A cognitive function test during authentication is not required unless an alternative non-cognitive method or an assistive mechanism is provided.","Design","User Experience (UX) Design","Front-End Development","Business Analysis","TBD"
"CSS-013","1.4.4","AA","Users can resize the text on the page up to 200% without any loss of content or functionality.","Design","Visual Design","Front End Development","User Experience (UX) Design","Requirement"
"CSS-019","1.4.10","AA","Displaying content on narrower screens or magnifying it does not cause multidirectional scrolling.","Design","Visual Design","Front-End Development","User Experience (UX) Design","Requirement"
"CSS-021","1.4.12","AA","Adjusting spacing between letters, words, or paragraphs, or adjusting line height does not cause a loss of content or functionality.","Design","Visual Design","Front-End Development","none","Requirement"
"CSS-023","2.4.11","AA","Elements that receive keyboard focus are at least partially visible in the viewport, without being covered by other content.","Design","User Experience (UX) Design","Front-End Development","Visual Design","TBD"
"CSS-024","2.4.12","AAA","Elements that receive keyboard focus are fully visible within the viewport, without being covered by other content.","Design","User Experience (UX) Design","Front-End Development","Visual Design","TBD"
"NAV-024","3.2.1","A","Setting the focus to a new element doesn't automatically trigger a context change, such as content updates or the opening of new windows.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
"NAV-025","3.2.2","A","Interacting with input controls or other equivalent elements doesn't automatically trigger a change of context, unless the user has been notified ahead of time.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
"TAB-017","2.4.6","AA","All data table header cells are identified.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
"ANM-004","1.2.1","A","The relationship between multimedia files and their associated transcript is clearly communicated through content sequence or focus order.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
"ANM-027","1.4.7","AAA","Prerecorded audio-only background sounds can be controlled by the user.","Design","User Experience (UX) Design","Front-End Development","none","Best Practice"
"ANM-035","2.3.3","AAA","Animation features that create the illusion of movement are defined so that users can disable them.","Design","User Experience (UX) Design","Front-End Developement","none","Requirement"
"SCT-002","1.3.1","A","Emoticons, emojis, ASCII art, and other non-markup language constructs are not used as the only way to structure content or convey information.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
"SCT-017","1.4.8","AAA","Fully justified text can easily be changed to ragged right text with a simple action.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
"SCT-020","3.1.2","AA","Content passages that differ from the default are identified with the correct value for language and locale.","Author","Content Authoring","Front-End Development","none","Best Practice"
"SCT-029","3.1.6","AAA","Ambiguous words are supported by a mechanism that helps users identify their specific pronunciation.","Design","User Experience (UX) Design","Front-End Development","Content Authoring","Requirement"
"DYN-001","2.4.11","AA","Fixed-position content does not fully cover focused elements.","Design","User Experience (UX) Design","Front-End Development","Visual Design","TBD"
"DYN-002","2.4.12","AA","Fixed-position content does not cover any part of focused elements.","Design","User Experience (UX) Design","Front-End Development","Visual Design","TBD"
"DYN-003","4.1.3","AA","Status messages are announced by assistive technologies without affecting the focus.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
