<!-- This file is generated from W3C WAI ARRM data. Do not edit manually. -->
<!-- Source: https://github.com/w3c/wai-arrm/blob/draft/_data/arrm/arrm-all-tasks.csv -->
<!-- Retrieved: 2025-01-01 -->
"ID","WCAG SC","Level","Task","Main Role","Primary Ownership","Secondary Ownership","Contributor","Status"
"IMG-011","1.1.1","A","A mechanism that conveys the way through which the full explanation of complex images is defined.","Design","User Experience (UX) Design","none","none","Best Practice"
"IMG-019","1.4.5","AA","Text content that conveys information is not part of images.","Design","User Experience (UX) Design","Visual Design","Content Authoring","Requirement"
"SEM-018","2.4.1","A","iFrames displaying content are provided with a clear, informative title attribute value.","Design","User Experience (UX) Design","Content Authoring","none","Requirement"
"SEM-028","4.1.2","A","iFrames are given a title that describes their content or purpose.","Design","User Experience (UX) Design","Content Authoring","none","Requirement"
"INP-001","1.4.13","AA","Additional content triggered by focus or hover that covers other information can be dismissed by the user.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
"INP-002","1.4.13","AA","Additional content triggered by pointer hover does not disappear when trying to move the pointer over it.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
"INP-003","1.4.13","AA","Additional content triggered by hover or focus stays visible until purposefully un-triggered, dismissed, or is no longer valid.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
"INP-007","2.1.1","A","Behaviors for hover and focus states are planned and included with the design assets.","Design","User Experience (UX) Design","Visual Design","none","Best Practice"
"INP-008","2.1.1","A","Keyboard focus states are planned for every active element.","Design","User Experience (UX) Design","Visual Design","none","Requirement"
"INP-013","2.1.3","AAA","All actionable elements can be reached using only the keyboard without requiring specific timings for individual keystrokes.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
"INP-014","2.1.4","A","Single-key keyboard shortcuts can be disabled or remapped, unless they are only active on keyboard focus.","Design","User Experience (UX) Design","none","none","Requirement"
"INP-019","2.5.1","A","Non-essential multipoint, path- or gesture-based functions have single-pointer alternatives.","Design","User Experience (UX) Design","none","none","Requirement"
"INP-020","2.5.2","A","Non-essential single-pointer functionality is not triggered on down events, unless the functionality can be canceled, undone, or reversed.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
"INP-022","2.5.4","A","All non-essential motion-related functionalities have alternative user interface controls that allow for equivalent actions.","Design","User Experience (UX) Design","none","none","Requirement"
"INP-023","2.5.4","A","All non-essential motion-related functionality can be turned off to prevent accidental actuation.","Design","User Experience (UX) Design","none","none","Requirement"
"INP-024","2.5.7","AA","All functionality requiring dragging movements can also be operated using single-pointer alternatives.","Design","User Experience (UX) Design","none","none","TBD"
"INP-026","3.2.2","A","Keyboard focus does not move automatically from one form control to the next.","Design","User Experience (UX) Design","Front End Development","none","Requirement"
"FRM-011","1.3.2","A","Information that is relevant to a form does not appear after the submit button.","Design","User Experience (UX) Design","none","none","Requirement"
"FRM-012","1.3.5","AA","Data entry fields are designed to autofill previously entered user information when that information is available.","Design","User Experience (UX) Design","Front-End Development","none","Best Practice"
"FRM-017","2.5.6","AAA","The content is designed in a way that does not restrict input modalities available.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
"FRM-018","3.2.1","A","Changes of context are not initiated automatically as user interface components receive focus.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
"FRM-020","3.2.2","A","Form interactions are not designed to include automatic changes of context upon input that would otherwise require explicit user action unless previously communicated.","Design","User Experience (UX) Design","Front-End Development","none","Requirement"
"FRM-021","3.2.4","A","Error messages and alerts are visually displayed across the site in a consistent manner.","Design","User Experience (UX) Design","Visual Design","none","Best Practice"
"FRM-023","3.3.1","A","Inline error messages are displayed next to their related form controls.","Design","User Experience (UX) Design","none","none","Best Practice"
"FRM-024","3.3.1","A","Error messages are grouped as a list at the top of the form.","Design","User Experience (UX) Design","Visual Design","none","Best Practice"
"FRM-025","3.3.2","A","Radio buttons and checkbox labels are positioned to the right of their respective form controls (for left-to-right languages).","Design","User Experience (UX) Design","none","none","Best Practice"
"FRM-026","3.3.2","A","Related form controls and their respective labels are grouped together visually.","Design","User Experience (UX) Design","Visual Design","none","Best Practice"
"FRM-027","3.3.2","A","Instructions are in close visual proximity to their related controls.","Design","User Experience (UX) Design","none","none","Best Practice"
"FRM-029","3.3.2","A","Form controls are designed to have persistent visual labels.","Design","User Experience (UX) Design","Visual Design","none","Requirement"
"FRM-032","3.3.2","A","Placeholder text is not used in lieu of regular text label elements.","Design","User Experience (UX) Design","none","none","Best Practice"
"FRM-035","3.3.3","AA","Text-based instructions are provided to help users correct errors.","Design","User Experience (UX) Design","Content Authoring, Visual Design","none","Requirement"
"FRM-036","3.3.4","AA","Users are provided with means to prevent and correct form errors when legal, financial, or data information is involved.","Design","User Experience (UX) Design","Business Analysis","none","Requirement"
"FRM-037","3.3.4","AA","When legal, financial, or data information is involved, confirmation screens are provided prior to any final form submission.","Design","User Experience (UX) Design","Business Analysis","Front-End Development","Best Practice"
"FRM-038","3.3.5","AAA","Context-sensitive help text is available.","Design","User Experience (UX) Design","Content Authoring","none","Requirement"
"FRM-039","3.3.6","AAA","Users are provided with means to prevent and correct form errors.","Design","User Experience (UX) Design","Business Analysis","none","Requirement"
"FRM-040","3.3.7","A","Except when it is essential for users to re-enter information in the same session, previously entered information is made available through auto-population or user selection.","Design","User Experience (UX) Design","Front-End Development","","TBD"
"FRM-041","3.3.8","AA","Cognitive function tests that do not rely on object recognition or personal content must provide an alternative non-cognitive method or an assistive mechanism.","Design","User Experience (UX) Design","Front-End Development","Business Analysis","TBD"
"FRM-042","3.3.9","AAA","A cognitive function test during authentication is not required unless an alternative non-cognitive method or an assistive mechanism is provided.","Design","User Experience (UX) Design","Front-End Development","Business Analysis","TBD"
"CSS-001","1.1.1","A","Icon fonts used to convey information are provided with a text equivalent.","Design","User Experience (UX) Design","Content Authoring","none","Requirement"
"CSS-008","1.3.4","AA","Content is viewable in both portrait and landscape orientation, unless a particular orientation is essential.","Design","User Experience (UX) Design","Visual Design","none","Requirement"
"CSS-023","2.4.11","AA","Elements that receive keyboard focus are at least partially visible in the viewport, without being covered by other content.","Design","User Experience (UX) Design","Front-End Development","Visual Design","TBD"
"CSS-024","2.4.12","AAA","Elements that receive keyboard focus are fully visible within the viewport, without being covered by other content.","Design","User Experience (UX) Design","Front-End Development","Visual Design","TBD"
