<!-- This file is generated from W3C WAI ARRM data. Do not edit manually. -->
<!-- Source: https://github.com/w3c/wai-arrm/blob/draft/_data/arrm/arrm-all-tasks.csv -->
<!-- Retrieved: 2025-01-01 -->
"ID","WCAG SC","Level","Task","Main Role","Primary Ownership","Secondary Ownership","Contributor","Status"
"IMG-018","1.4.1","A","Charts, graphs, infographics and other visual representations of information don't rely on color alone to convey information.","Design","Visual Design","User Experience (UX) Design","none","Requirement"
"IMG-021","1.4.5","AA","Unless a particular presentation of text is essential to the information being conveyed, all images that contain text are only used for purely decorative purposes.","Design","Visual Design","User Experience (UX) Design","none","Best Practice"
"IMG-022","1.4.9","AAA","With the exception of logos, all images that contain text are only used for purely decorative purposes.","Design","Visual Design","Content Authoring","none","Requirement"
"INP-017","2.4.7","AA","Every element that receives keyboard focus is designed to display a visible focus indicator.","Design","Visual Design","User Experience (UX) Design","none","Requirement"
"FRM-022","3.2.4","A","Visual indicators are presented to support error messages when errors are returned.","Design","Visual Design","User Experience (UX) Design","none","Best Practice"
"FRM-031","3.3.2","A","Instructions provided in forms are displayed in a clear and unambiguous way.","Design","Visual Design","User Experience (UX) Design","none","Best Practice"
"CSS-006","1.3.3","A","Shape and location are never used as the only way to convey information and relationships between page components.","Design","Visual Design","User Experience (UX) Design","Content Authoring","Requirement"
"CSS-009","1.4.1","A","Color is never used as the only way to convey information, context, indicate selection or the presence of errors.","Design","Visual Design","User Experience (UX) Design","Content Authoring","Requirement"
"CSS-010","1.4.1","A","For a link that is not underlined and in a paragraph text, its text color is sufficiently contrasted by providing a luminosity ratio of at least 3:1 against its surrounding text.","Design","Visual Design","none","none","Requirement"
"CSS-011","1.4.3","AA","Regular-sized text is sufficiently contrasted against its background, with a luminosity ratio of at least 4.5:1.","Design","Visual Design","none","none","Requirement"
"CSS-012","1.4.3","AA","Large-sized text is sufficiently contrasted against its background, with a luminosity ratio of at least 3:1.","Design","Visual Design","none","none","Requirement"
"CSS-013","1.4.4","AA","Users can resize the text on the page up to 200% without any loss of content or functionality.","Design","Visual Design","Front End Development","User Experience (UX) Design","Requirement"
"CSS-016","1.4.6","AAA","Regular-sized text is sufficiently contrasted against its background, with a luminosity ratio of at least 7:1.","Design","Visual Design","none","none","Requirement"
"CSS-017","1.4.6","AAA","Large-sized text is sufficiently contrasted against its background, with a luminosity ratio of at least 4.5:1.","Design","Visual Design","none","none","Requirement"
"CSS-018","1.4.10","AA","The design makes it possible for end users to enlarge the text so that it reflows into a single column without any loss of information or functionality.","Design","Visual Design","User Experience (UX) Design","none","Requirement"
"CSS-019","1.4.10","AA","Displaying content on narrower screens or magnifying it does not cause multidirectional scrolling.","Design","Visual Design","Front-End Development","User Experience (UX) Design","Requirement"
"CSS-020","1.4.11","AA","All non-text user interface components and graphical objects are sufficiently contrasted against their background, with a luminosity ratio of at least 3:1.","Design","Visual Design","none","none","Requirement"
"CSS-021","1.4.12","AA","Adjusting spacing between letters, words, or paragraphs, or adjusting line height does not cause a loss of content or functionality.","Design","Visual Design","Front-End Development","none","Requirement"
"CSS-025","2.4.13","AAA","The keyboard focus indicator is clearly visible and has a minimum area equivalent to a 2 CSS pixel thick border around the focused element, except situations where no visible change is required.","Design","Visual Design","","User Experience (UX) Design, Front-End Development","TBD"
"CSS-026","2.4.13","AAA","The focus indicator has a contrast ratio of at least 3:1 between the same pixels in the focused and unfocused states.","Design","Visual Design","none","none","TBD"
"CSS-027","2.5.5","AAA","Unless the interactive element is part of a sentence or a block of text, its size must be at least 44 x 44 pixels.","Design","Visual Design","none","none","Requirement"
"CSS-028","2.5.8","AA","A minimum height and width of 24 CSS pixels is provided for each interactive target that is not an inline link or control.","Design","Visual Design","none","none","TBD"
"CSS-029","2.5.8","AA","For any control that is less than 24 by 24 CSS pixels, add padding so that the target area is at least 24 by 24 CSS pixels.","Design","Visual Design","none","none","TBD"
"NAV-001","1.3.1","A","Active objects and other calls to action are visually identifiable as such.","Design","Visual Design","none","none","Requirement"
"NAV-027","3.2.4","AA","Navigational graphics and icons used throughout the site or application are designed to always serve the same function and or meaning.","Design","Visual Design","User Experience (UX) Design","none","Requirement"
"NAV-029","3.2.4","AA","Users can consistently distinguish between links internal to a page and links going to different locations.","Design","Visual Design","none","none","Requirement"
"ANM-033","2.3.1","A","Content on the screen does not flash or blink more than three times in any one-second period, or the flash is below the general flash and red flash thresholds.","Design","Visual Design","none","none","Requirement"
"ANM-034","2.3.2","AAA","Content on the screen does not flash or blink at a rate that is higher than three times in any one-second period.","Design","Visual Design","none","none","Requirement"
"SCT-016","1.4.8","AAA","Text content in design assets such as content blocks is left-aligned in left-to-right languages.","Design","Visual Design","User Experience (UX) Design","none","Requirement"
"SCT-027","3.1.5","AAA","Ideas conveyed through text are supported with illustrations or other visuals.","Design","Visual Design","User Experience (UX) Design, Content Authoring","none","Requirement"
