<!-- This file is generated from W3C WAI ARRM data. Do not edit manually. -->
<!-- Source: https://github.com/w3c/wai-arrm/blob/draft/_data/arrm/arrm-all-tasks.csv -->
<!-- Retrieved: 2025-01-01 -->
"ID","WCAG SC","Level","Task","Main Role","Primary Ownership","Secondary Ownership","Contributor","Status"
"IMG-001","1.1.1","A","Informative alternate text is provided for images (i.e. not ""spacer"" or image file name).","Author","Content Authoring","User Experience (UX) Design","none","Requirement"
"IMG-002","1.1.1","A","Informative images are described with a clear and meaningful text equivalent (alt attribute or other equivalent means).","Author","Content Authoring","none","none","Requirement"
"IMG-006","1.1.1","A","Alt text used for images of text include all relevant text found in the image.","Author","Content Authoring","none","none","Requirement"
"IMG-008","1.1.1","A","The purpose or function of complex images is accurately described in text.","Author","Content Authoring","User Experience (UX) Design","none","Requirement"
"IMG-010","1.1.1","A","The full explanation of complex images is accurately described in text.","Author","Content Authoring","none","none","Requirement"
"IMG-013","1.1.1","A","Images primarily conveying function use alternative text to describe their purpose, rather than what they look like.","Author","Content Authoring","User Experience (UX) Design","none","Requirement"
"IMG-014","1.1.1","A","Text alternatives of static and linked images do not replicate any information that is already being conveyed by screen reader technology.","Author","Content Authoring","Front End Development","none","Best Practice"
"IMG-017","1.1.1","A","Images which do not convey information are defined as decorative.","Author","Content Authoring","none","none","Best Practice"
"SEM-012","1.3.1","A","Headings follow a hierarchical sequence without skipping any levels.","Author","Content Authoring","User Experience (UX) Design","none","Best Practice"
"SEM-019","2.4.2","A","Page title text matches the level 1 heading text.","Author","Content Authoring","none","none","Best Practice"
"SEM-020","2.4.2","A","Pages are described using unique and descriptive page title values.","Author","Content Authoring","none","none","Requirement"
"SEM-022","2.4.6","AA","Heading text meaningfully describes the content's topic or purpose.","Author","Content Authoring","none","none","Requirement"
"SEM-023","2.4.6","AA","The main heading of the page describes the content of the page.","Author","Content Authoring","none","none","Requirement"
"INP-021","2.5.3","A","Text or images of text that is usually included in a user interface control is part of its accessible name.","Author","Content Authoring","User Experience (UX) Design","none","Requirement"
"FRM-006","1.3.1","A","Common group label text is informative, meaningful and provides context for the grouping.","Author","Content Authoring","User Experience (UX) Design","none","Requirement"
"FRM-016","2.4.6","AA","The purpose of the form control is clearly described in text.","Author","Content Authoring","User Experience (UX) Design","none","Requirement"
"FRM-030","3.3.2","A","Clear text-based instructions are provided on how to use the form controls.","Author","Content Authoring","User Experience (UX) Design","Visual Design","Requirement"
"FRM-033","3.3.3","AA","Error messages returned provide clear instructions on how to fix them.","Author","Content Authoring","User Experience (UX) Design","none","Requirement"
"NAV-002","1.3.3","A","Instructions are conveyed through more than shape, size, position, or sound alone.","Author","Content Authoring","User Experience (UX) Design","none","Requirement"
"NAV-018","2.4.4","A","Link text and alternate text for images, when used as links, describe the destination or purpose of the link.","Author","Content Authoring","none","none","Requirement"
"NAV-022","2.4.9","AAA","The purpose of each link can be identified in its immediate context, or from the link text alone.","Author","Content Authoring","User Experience (UX) Design","none","Requirement"
