<!-- This file is generated from W3C WAI ARRM data. Do not edit manually. -->
<!-- Source: https://github.com/w3c/wai-arrm/blob/draft/_data/arrm/arrm-all-tasks.csv -->
<!-- Retrieved: 2025-01-01 -->
"ID","WCAG SC","Level","Task","Main Role","Primary Ownership","Secondary Ownership","Contributor","Status"
"IMG-019","1.4.5","AA","Text content that conveys information is not part of images.","Design","User Experience (UX) Design","Visual Design","Content Authoring","Requirement"
"INP-007","2.1.1","A","Behaviors for hover and focus states are planned and included with the design assets.","Design","User Experience (UX) Design","Visual Design","none","Best Practice"
"INP-008","2.1.1","A","Keyboard focus states are planned for every active element.","Design","User Experience (UX) Design","Visual Design","none","Requirement"
"INP-015","2.4.3","A","Users can tab through active elements in an order that reflects the intended interaction order of the design.","Development","Front-End Development","User Experience (UX) Design, Visual Design","none","Requirement"
"INP-018","2.4.7","AA","Every element that receives keyboard focus displays a visible focus indicator.","Development","Front-End Development","Visual Design","none","Requirement"
"INP-025","2.5.8","AA","Any programmatic grouping of controls has a target area of at least 24 by 24 CSS pixels.","Development","Front-End Development","Visual Design","User Experience (UX) Design","TBD"
"FRM-021","3.2.4","A","Error messages and alerts are visually displayed across the site in a consistent manner.","Design","User Experience (UX) Design","Visual Design","none","Best Practice"
"FRM-024","3.3.1","A","Error messages are grouped as a list at the top of the form.","Design","User Experience (UX) Design","Visual Design","none","Best Practice"
"FRM-026","3.3.2","A","Related form controls and their respective labels are grouped together visually.","Design","User Experience (UX) Design","Visual Design","none","Best Practice"
"FRM-029","3.3.2","A","Form controls are designed to have persistent visual labels.","Design","User Experience (UX) Design","Visual Design","none","Requirement"
"FRM-035","3.3.3","AA","Text-based instructions are provided to help users correct errors.","Design","User Experience (UX) Design","Content Authoring, Visual Design","none","Requirement"
"CSS-004","1.1.1","A","Background images identified as decorative are implemented as such.","Development","Front-End Development","Visual Design","none","Requirement"
"CSS-007","1.3.3","A","Users relying on High Contrast themes don't lose information as a result of doing so.","Development","Front-End Development","Visual Design","none","Requirement"
"CSS-008","1.3.4","AA","Content is viewable in both portrait and landscape orientation, unless a particular orientation is essential.","Design","User Experience (UX) Design","Visual Design","none","Requirement"
"CSS-014","1.4.4","AA","CSS techniques are used to ensure that content doesn't overflow, overlap or get truncated as a result of increasing the text size.","Development","Front-End Development","Visual Design","User Experience (UX) Design","Best Practice"
"CSS-015","1.4.5","AA","CSS background sprites don't include images of text, unless equivalent text alternatives are also provided as part of the HTML.","Development","Front-End Development","Content Authoring, Visual Design","none","Requirement"
"CSS-022","2.4.7","AA","The CSS outline property of objects that receive keyboard focus are not set to zero or none.","Development","Front-End Development","Visual Design","none","Best Practice"
"CSS-030","2.5.8","AA","Controls with the same functionality or destination are combined within a single target area that is at least 24 by 24 CSS pixels.","Design","User Experience (UX) Design","Visual Design","Front-End Development","TBD"
"NAV-003","1.4.1","A","Additional visual and/or textual cues are provided when color is used to convey information.","Design","User Experience (UX) Design","Visual Design, Content Authoring","none","Requirement"
"NAV-021","2.4.8","AAA","Indications are provided to help users identify their current location within the site.","Design","User Experience (UX) Design","Visual Design","none","Requirement"
"NAV-026","3.2.3","AA","Navigation mechanisms are repeated consistently throughout the site or application in the same relative order.","Design","User Experience (UX) Design","Visual Design","none","Requirement"
"NAV-030","3.2.5","AAA","Links that open new windows visually indicate they will do so.","Design","User Experience (UX) Design","Visual Design","none","Best Practice"
"NAV-032","3.2.6","AAA","Help mechanisms are repeated consistently throughout the site or application in the same relative order.","Design","User Experience (UX) Design","Visual Design","none","TBD"
"TAB-010","1.3.1","A","Large, complex data tables are broken into smaller, simpler data tables (when possible).","Design","User Experience (UX) Design","Visual Design, Content Authoring","none","Best Practice"
"SCT-010","1.3.3","A","Objects that rely on shape to be properly perceived are supported with additional text information.","Design","User Experience (UX) Design","Visual Design","Content Authoring","Requirement"
"SCT-011","1.3.3","A","Objects that rely on size to be properly perceived are supported with additional text information.","Design","User Experience (UX) Design","Visual Design","Content Authoring","Requirement"
"SCT-012","1.3.3","A","Objects that rely on visual location to be properly perceived are supported with additional text information.","Design","User Experience (UX) Design","Visual Design","Content Authoring","Best Practice"
"SCT-013","1.3.3","A","Objects that rely on orientation to be properly perceived are supported with additional text information.","Design","User Experience (UX) Design","Visual Design","Content Authoring","Requirement"
"SCT-028","3.1.5","AAA","Content is displayed and structured in a way that makes it easier to read.","Design","User Experience (UX) Design","Visual Design","none","Requirement"
